Data;Estació;Conca;UTM X;UTM Y;Variable;Mitjana;Unitat Mesura
2007/01/10;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.518197917;m
2007/01/11;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.25;m
2007/01/11;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.06;m³/s
2007/01/11;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.269;m³/s
2007/01/11;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.519878472;m
2007/01/12;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.25;m
2007/01/12;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.06;m³/s
2007/01/12;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.207;m³/s
2007/01/12;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.518284722;m
2007/01/13;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.25;m
2007/01/13;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.06;m³/s
2007/01/13;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.282;m³/s
2007/01/13;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.521493056;m
2007/01/14;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.25;m
2007/01/14;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.06;m³/s
2007/01/14;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.257;m³/s
2007/01/14;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.521260417;m
2007/01/15;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.25;m
