Data;Codi Estació;Codi massa d'aigua;Massa d'aigua;UTM X;UTM Y;Variable;Profunditat mostra (m);Valor;Unitat Mesura
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Amoni;-;11.37;mg NH4/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Bicarbonats;-;361.1;mg HCO3/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Calci;-;124.9;mg/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Clorurs;-;397.6;mg/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Conductivitat (camp);-;2100;µS/cm
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Conductivitat a 20ºC;-;1942;µS/cm
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Duresa total;-;453.9;mg CaCO3/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Error relatiu balanç iònic;-;0.27;%
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Fosfats;-;3.18437336;mg PO4/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Magnesi;-;34.5;mg/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Nitrats;-;10.2;mg NO3/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Nitrits;-;1.39;mg NO2/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Oxigen dissolt (camp);-;8.5;mg/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Potassi;-;77.23;mg/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Sodi;-;244.2;mg/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Sulfats;-;234;mg/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Suma d'anions;-;22.178;meq/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Suma de cations;-;22.2977;meq/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;TOC;-;9;mg/L
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Temperatura de l'aigua (camp);-;11.4;ºC
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;pH;-;8.2;u.pH
2007/02/06;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;pH (camp);-;8.2;u.pH
2007/03/06;100092000;1000920;Riera de Rafamans;412986;4585160;Bicarbonats;-;325.7;mg HCO3/L
2007/03/06;100092000;1000920;Riera de Rafamans;412986;4585160;Conductivitat (camp);-;2550;µS/cm
2007/03/06;100092000;1000920;Riera de Rafamans;412986;4585160;Duresa total;-;1150.2;mg CaCO3/L
2007/03/06;100092000;1000920;Riera de Rafamans;412986;4585160;Magnesi;-;86.3;mg/L
2007/03/06;100092000;1000920;Riera de Rafamans;412986;4585160;Nitrats;-;9.7;mg NO3/L
2007/03/06;100092000;1000920;Riera de Rafamans;412986;4585160;Nitrits;-;0.11;mg NO2/L
